"学名","科","中文名","英文名","西班牙文名","法文名","德语名","俄语名","意大利语名","葡萄牙语名","日语名","出现次数"
"Aegypius monachus","Accipitridae","秃鹫","Cinereous Vulture","Buitre negro","Vautour moine","Mönchsgeier","Чёрный гриф","Avvoltoio monaco","abutre-preto","クロハゲワシ","15512"
"Buteo japonicus","Accipitridae","普通鵟","Eastern Buzzard","Busardo japonés","Buse du Japon","Taigabussard","Восточный канюк","Poiana giapponese","bútio-oriental","ノスリ","8869"
"Milvus migrans","Accipitridae","黑鸢","Black Kite","Milano negro","Milan noir","Schwarzmilan","Чёрный коршун","Nibbio bruno","milhafre-preto","トビ","8789"
"Accipiter nisus","Accipitridae","雀鹰","Eurasian Sparrowhawk","Gavilán común","Épervier d’Europe","Sperber","Перепелятник","Sparviere","gavião-europeu","ハイタカ","8584"
"Circus spilonotus","Accipitridae","白腹鹞","Eastern Marsh Harrier","Aguilucho lagunero oriental","Busard d’Orient","Mangroveweihe","Восточный лунь","Albanella orientale","tartaranhão-oriental","チュウヒ","5159"
"Elanus caeruleus","Accipitridae","黑翅鸢","Black-winged Kite","Elanio común","Élanion blanc","Gleitaar","Дымчатый коршун","Nibbio bianco","peneireiro-cinzento","カタグロトビ","4735"
"Circus cyaneus","Accipitridae","白尾鹞","Hen Harrier","Aguilucho pálido","Busard Saint-Martin","Kornweihe","Полевой лунь","Albanella reale","tartaranhão-azulado","ハイイロチュウヒ","4170"
"Pernis ptilorhynchus","Accipitridae","凤头蜂鹰","Crested Honey Buzzard","Abejero oriental","Bondrée orientale","Schopfwespenbussard","Хохлатый осоед","Falco pecchiaiolo orientale","vespeiro-oriental","ハチクマ","4112"
"Accipiter trivirgatus","Accipitridae",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"3938"
"Gyps himalayensis","Accipitridae","高山兀鹫","Himalayan Vulture","Buitre del Himalaya","Vautour de l’Himalaya","Schneegeier","Кумай","Grifone dell'Himalaya","grifo-dos-himalaias","ヒマラヤハゲワシ","3888"
"Pandion haliaetus","Pandionidae","鹗","Osprey","Águila pescadora","Balbuzard pêcheur","Fischadler","Скопа","Falco pescatore","águia-pesqueira","ミサゴ","3836"
"Buteo hemilasius","Accipitridae","大鵟","Upland Buzzard","Busardo mongol","Buse de Chine","Mongolenbussard","Мохноногий курганник","Poiana degli altipiani","bútio-mongol","オオノスリ","3599"
"Accipiter gularis","Accipitridae",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2430"
"Accipiter gentilis","Accipitridae",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2246"
"Accipiter soloensis","Accipitridae",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2201"
"Spilornis cheela","Accipitridae","蛇雕","Crested Serpent Eagle","Culebrera chiíla","Serpentaire bacha","Haubenschlangenadler","Хохлатый змееяд","Serpentario crestato","águia-cobreira-de-crista","カンムリワシ","2140"
"Ictinaetus malayensis","Accipitridae",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2099"
"Butastur indicus","Accipitridae","灰脸鵟鹰","Grey-faced Buzzard","Busardo carigrís","Busautour à joues grises","Amurbussard","Ястребиный сарыч","Poiana facciagrigia","bútio-de-faces-cinzentas","サシバ","2012"
"Circus melanoleucos","Accipitridae","鹊鹞","Pied Harrier","Aguilucho pío","Busard tchoug","Elsterweihe","Пегий лунь","Albanella bianconera","tartaranhão-alvinegro","マダラチュウヒ","1958"
"Gypaetus barbatus","Accipitridae","胡兀鹫","Bearded Vulture","Quebrantahuesos","Gypaète barbu","Bartgeier","Бородач","Gipeto","quebra-ossos","ヒゲワシ","1956"
"Aquila chrysaetos","Accipitridae","金雕","Golden Eagle","Águila real","Aigle royal","Steinadler","Беркут","Aquila reale","águia-real","イヌワシ","1684"
"Accipiter virgatus","Accipitridae",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1484"
"Buteo refectus","Accipitridae","喜山鵟","Himalayan Buzzard","Busardo del Himalaya","Buse de l’Himalaya","Tibetbussard","Гималайский канюк","Poiana dell'Himalaya","bútio-dos-himalaias","ヒマラヤノスリ","1181"
"Haliaeetus albicilla","Accipitridae","白尾海雕","White-tailed Eagle","Pigargo europeo","Pygargue à queue blanche","Seeadler","Орлан-белохвост","Aquila di mare","pigargo-europeu","オジロワシ","955"
"Aviceda leuphotes","Accipitridae","黑冠鹃隼","Black Baza","Baza negro","Baza huppard","Dreifarbweih","Чёрная база","Baza nero","gavião-cuco-preto","クロカッコウハヤブサ","785"
"Nisaetus nipalensis","Accipitridae","鹰雕","Mountain Hawk-Eagle","Águila montañesa","Aigle montagnard","Berghaubenadler","Хохлатый орёл","Aquilastore montano","águia-gavião-montesa","クマタカ","659"
"Aquila clanga","Accipitridae",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"625"
"Aquila nipalensis","Accipitridae","草原雕","Steppe Eagle","Águila esteparia","Aigle des steppes","Steppenadler","Степной орёл","Aquila delle steppe","águia-das-estepes","ソウゲンワシ","615"
"Hieraaetus pennatus","Accipitridae","靴隼雕","Booted Eagle","Águila calzada","Aigle botté","Zwergadler","Орёл-карлик","Aquila minore","águia-calçada","ヒメクマタカ","517"
"Accipiter badius","Accipitridae",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"506"
"Buteo rufinus","Accipitridae","棕尾鵟","Long-legged Buzzard","Busardo moro","Buse féroce","Adlerbussard","Курганник","Poiana codabianca","bútio-mouro","ニシオオノスリ","374"
"Buteo lagopus","Accipitridae","毛脚鵟","Rough-legged Buzzard","Busardo calzado","Buse pattue","Raufußbussard","Зимняк","Poiana calzata","bútio-calçado","ケアシノスリ","363"
"Circaetus gallicus","Accipitridae","短趾雕","Short-toed Snake Eagle","Culebrera europea","Circaète Jean-le-Blanc","Schlangenadler","Змееяд","Biancone","águia-cobreira-eurasiática","チュウヒワシ","281"
"Aviceda jerdoni","Accipitridae","褐冠鹃隼","Jerdon's Baza","Baza oriental","Baza de Jerdon","Orientweih","Азиатская база","Baza di Jerdon","gavião-cuco-oriental","チャイロカッコウハヤブサ","266"
"Aquila fasciata","Accipitridae","白腹隼雕","Bonelli's Eagle","Águila perdicera","Aigle de Bonelli","Habichtsadler","Ястребиный орёл","Aquila di Bonelli","águia-de-bonelli","ボネリークマタカ","223"
"Aquila heliaca","Accipitridae","白肩雕","Eastern Imperial Eagle","Águila imperial oriental","Aigle impérial","Kaiseradler","Орёл-могильник","Aquila imperiale","águia-imperial-oriental","カタシロワシ","172"
"Buteo buteo","Accipitridae","欧亚鵟","Common Buzzard","Busardo ratonero","Buse variable","Mäusebussard","Канюк","Poiana","bútio-d'asa-redonda","ヨーロッパノスリ","152"
"Circus aeruginosus","Accipitridae","白头鹞","Western Marsh Harrier","Aguilucho lagunero occidental","Busard des roseaux","Rohrweihe","Болотный лунь","Falco di palude","tartaranhão-dos-pauis","ヨーロッパチュウヒ","108"
"Haliaeetus leucoryphus","Accipitridae","玉带海雕","Pallas's Fish Eagle","Pigargo de Pallas","Pygargue de Pallas","Bindenseeadler","Орлан-долгохвост","Aquila di mare di Pallas","pigargo-de-pallas","キガシラウミワシ","103"
NULL,"Accipitridae",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"84"
"Haliaeetus pelagicus","Accipitridae","虎头海雕","Steller's Sea Eagle","Pigargo gigante","Pygargue empereur","Riesenseeadler","Белоплечий орлан","Aquila pescatrice di Steller","pigargo-gigante","オオワシ","76"
"Haliaeetus leucogaster","Accipitridae",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"66"
"Circus pygargus","Accipitridae","乌灰鹞","Montagu's Harrier","Aguilucho cenizo","Busard cendré","Wiesenweihe","Луговой лунь","Albanella minore","tartaranhão-caçador","ヒメハイイロチュウヒ","44"
"Lophotriorchis kienerii","Accipitridae","棕腹隼雕","Rufous-bellied Eagle","Águila ventrirroja","Aigle à ventre roux","Rotbauchadler","Рыжебрюхий орёл","Aquilastore panciarossiccia","águia-de-barriga-ruiva","アカハラクマタカ","31"
"Circus macrourus","Accipitridae","草原鹞","Pallid Harrier","Aguilucho papialbo","Busard pâle","Steppenweihe","Степной лунь","Albanella pallida","tartaranhão-pálido","ウスハイイロチュウヒ","29"
"Haliastur indus","Accipitridae","栗鸢","Brahminy Kite","Milano brahmán","Milan sacré","Brahmanenmilan","Браминский коршун","Nibbio bramino","milhafre-brâmane","シロガシラトビ","26"
"Aquila rapax","Accipitridae","茶色雕","Tawny Eagle","Águila rapaz","Aigle ravisseur","Savannenadler","Саванный орёл","Aquila rapace","águia-fulva","アフリカソウゲンワシ","2"
"Sarcogyps calvus","Accipitridae","黑兀鹫","Red-headed Vulture","Buitre cabecirrojo","Vautour royal","Kahlkopfgeier","Красноголовый гриф","Avvoltoio testarossa","abutre-de-cabeça-vermelha","ミミハゲワシ","2"
"Buteo jamaicensis","Accipitridae","红尾鵟","Red-tailed Hawk","Busardo colirrojo","Buse à queue rousse","Rotschwanzbussard","Краснохвостый канюк","Poiana codarossa","bútio-de-cauda-vermelha","アカオノスリ","1"
"Icthyophaga humilis","Accipitridae","渔雕","Lesser Fish Eagle","Pigarguillo menor","Pygargue nain","Braunschwanz-Seeadler","Малый рыболов","Aquila pescatrice minore","pigargo-pequeno","コウオクイワシ","1"
"Neophron percnopterus","Accipitridae","白兀鹫","Egyptian Vulture","Alimoche común","Percnoptère d’Égypte","Schmutzgeier","Стервятник","Capovaccaio","abutre-do-egipto","エジプトハゲワシ","1"
"Gansugyps linxiaensis","Accipitridae",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1"
"Butastur liventer","Accipitridae","棕翅鵟鹰","Rufous-winged Buzzard","Busardo alirrufo","Busautour pâle","Malaienbussard","Краснокрылый сарыч","Poiana alirossicce","bútio-d'asa-ruiva","チャバネサシバ","1"
"Accipiter cirrocephalus","Accipitridae",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1"
